time,run_cnt,dps_x,dps_y,dps_z,cal_adjust_x,cal_adjust_y,cal_adjust_z,deg_x,deg_y,deg_z,cal_x,cal_y,cal_z,notes
2055,0,269,-616,265,,,,,,,,,,Calibrating Gyro
2104,0,321,-577,-176,,,,,,,,,,Calibrating Gyro
2156,0,118,-1514,-426,,,,,,,,,,Calibrating Gyro
2209,0,235,-1627,259,,,,,,,,,,Calibrating Gyro
2262,0,87,-1088,-31,,,,,,,,,,Calibrating Gyro
2313,0,398,-1409,-116,,,,,,,,,,Calibrating Gyro
2366,0,538,-1010,38,,,,,,,,,,Calibrating Gyro
2417,0,425,-773,58,,,,,,,,,,Calibrating Gyro
2466,0,392,-1092,64,,,,,,,,,,Calibrating Gyro
2518,0,460,-1393,-494,,,,,,,,,,Calibrating Gyro
2571,0,462,-1135,-390,,,,,,,,,,Calibrating Gyro
2624,0,662,-1407,-300,,,,,,,,,,Calibrating Gyro
2677,0,351,-1144,-424,,,,,,,,,,Calibrating Gyro
2731,0,438,-1141,-119,,,,,,,,,,Calibrating Gyro
2784,0,479,-244,154,,,,,,,,,,Calibrating Gyro
2835,0,399,-796,147,,,,,,,,,,Calibrating Gyro
2885,0,574,-690,-889,,,,,,,,,,Calibrating Gyro
2937,0,449,-1293,-413,,,,,,,,,,Calibrating Gyro
2991,0,235,-1038,-357,,,,,,,,,,Calibrating Gyro
3044,0,593,-818,-339,,,,,,,,,,Calibrating Gyro
3096,0,148,-765,-243,,,,,,,,,,Calibrating Gyro
3148,0,518,-627,-237,,,,,,,,,,Calibrating Gyro
3201,0,205,-654,-238,,,,,,,,,,Calibrating Gyro
3253,0,501,-676,-143,,,,,,,,,,Calibrating Gyro
3304,0,475,-988,-44,,,,,,,,,,Calibrating Gyro
3355,0,60,-878,-233,,,,,,,,,,Calibrating Gyro
3406,0,570,-841,326,,,,,,,,,,Calibrating Gyro
3458,0,106,-957,-400,,,,,,,,,,Calibrating Gyro
3510,0,611,-1243,-202,,,,,,,,,,Calibrating Gyro
3563,0,145,-1404,-340,,,,,,,,,,Calibrating Gyro
3615,0,357,-893,-120,,,,,,,,,,Calibrating Gyro
3667,0,389,-990,67,,,,,,,,,,Calibrating Gyro
3718,0,20,-808,-325,,,,,,,,,,Calibrating Gyro
3769,0,397,-959,-261,,,,,,,,,,Calibrating Gyro
3821,0,271,-1322,-369,,,,,,,,,,Calibrating Gyro
3874,0,399,-902,-143,,,,,,,,,,Calibrating Gyro
3927,0,316,-1033,-47,,,,,,,,,,Calibrating Gyro
3978,0,184,-801,12,,,,,,,,,,Calibrating Gyro
4028,0,535,-788,-2,,,,,,,,,,Calibrating Gyro
4078,0,365,-1013,253,,,,,,,,,,Calibrating Gyro
4130,0,539,-931,72,,,,,,,,,,Calibrating Gyro
4179,0,526,-940,183,,,,,,,,,,Calibrating Gyro
4231,0,633,-1017,-476,,,,,,,,,,Calibrating Gyro
4284,0,474,-1026,-532,,,,,,,,,,Calibrating Gyro
4337,0,498,-1148,-138,,,,,,,,,,Calibrating Gyro
4390,0,457,-826,-235,,,,,,,,,,Calibrating Gyro
4443,0,342,-935,5,,,,,,,,,,Calibrating Gyro
4492,0,451,-1115,-123,,,,,,,,,,Calibrating Gyro
4544,0,676,-1162,-239,,,,,,,,,,Calibrating Gyro
4597,0,409,-857,-497,,,,,,,,,,Calibrating Gyro
4649,0,675,-1308,-188,,,,,,,,,,Calibrating Gyro
4703,0,204,-864,116,,,,,,,,,,Calibrating Gyro
4754,0,399,-643,171,,,,,,,,,,Calibrating Gyro
4805,0,406,-1033,-93,,,,,,,,,,Calibrating Gyro
4857,0,325,-964,-167,,,,,,,,,,Calibrating Gyro
4910,0,404,-1310,-502,,,,,,,,,,Calibrating Gyro
4962,0,204,-819,-36,,,,,,,,,,Calibrating Gyro
5013,0,409,-942,-39,,,,,,,,,,Calibrating Gyro
5064,0,537,-1125,-39,,,,,,,,,,Calibrating Gyro
5116,0,371,-1083,-158,,,,,,,,,,Calibrating Gyro
5170,0,353,-1276,167,,,,,,,,,,Calibrating Gyro
5222,0,427,-907,-66,,,,,,,,,,Calibrating Gyro
5272,0,301,-1181,-104,,,,,,,,,,Calibrating Gyro
5325,0,462,-805,235,,,,,,,,,,Calibrating Gyro
5377,0,524,-1040,-132,,,,,,,,,,Calibrating Gyro
5430,0,489,-1053,-168,,,,,,,,,,Calibrating Gyro
5483,0,524,-1122,-310,,,,,,,,,,Calibrating Gyro
5536,0,436,-938,109,,,,,,,,,,Calibrating Gyro
5587,0,700,-1145,-124,,,,,,,,,,Calibrating Gyro
5641,0,186,-953,-347,,,,,,,,,,Calibrating Gyro
5692,0,314,-846,174,,,,,,,,,,Calibrating Gyro
5743,0,421,-756,-117,,,,,,,,,,Calibrating Gyro
5795,0,421,-1088,-161,,,,,,,,,,Calibrating Gyro
5849,0,497,-1018,-162,,,,,,,,,,Calibrating Gyro
5902,0,207,-1170,-179,,,,,,,,,,Calibrating Gyro
5955,0,584,-1001,-274,,,,,,,,,,Calibrating Gyro
6008,0,407,-836,-263,,,,,,,,,,Calibrating Gyro
6061,0,503,-1037,-322,,,,,,,,,,Calibrating Gyro
6114,0,490,-856,-187,,,,,,,,,,Calibrating Gyro
6165,0,219,-642,-92,,,,,,,,,,Calibrating Gyro
6216,0,425,-868,297,,,,,,,,,,Calibrating Gyro
6267,0,403,-888,-112,,,,,,,,,,Calibrating Gyro
6320,0,238,-1289,-624,,,,,,,,,,Calibrating Gyro
6373,0,603,-1230,29,,,,,,,,,,Calibrating Gyro
6424,0,152,-598,169,,,,,,,,,,Calibrating Gyro
6474,0,605,-1042,69,,,,,,,,,,Calibrating Gyro
6525,0,354,-998,10,,,,,,,,,,Calibrating Gyro
6576,0,241,-860,-283,,,,,,,,,,Calibrating Gyro
6628,0,591,-525,116,,,,,,,,,,Calibrating Gyro
6679,0,170,-1035,-557,,,,,,,,,,Calibrating Gyro
6732,0,560,-865,277,,,,,,,,,,Calibrating Gyro
6782,0,407,-816,-226,,,,,,,,,,Calibrating Gyro
6835,0,243,-718,-256,,,,,,,,,,Calibrating Gyro
6887,0,378,-839,70,,,,,,,,,,Calibrating Gyro
6937,0,352,-1006,-48,,,,,,,,,,Calibrating Gyro
6989,0,467,-1203,-342,,,,,,,,,,Calibrating Gyro
7043,0,460,-801,-392,,,,,,,,,,Calibrating Gyro
